year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2012,Bolivia,ARG,Argentina,1,15.25,1,0,0,0,0,,-1.88,0.556,0,1,209.0746,193.4959,184.1486,201.2852,277.6211,188.8222,30.4386,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.67,1,,1,1,,39.04,-3.13,0.545,0,1,333.15936,325.2142,325.2142,329.8878,325.2142,360.2664,47.6919,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.75,0,,,1,1,39.04,-1.45,0.112,0,1,465.73456,445.1706,486.4543,473.9913,441.2759,481.7807,24.4368,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,15.32999992,1,4,4,1,1,54,0.0328,0.47182098,0,1,456.776,476.5599976,494.480011,425.9299927,467.9899902,418.9200134,71.22470093,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2009,Bolivia,ARG,Argentina,1,16.17000008,1,,0,1,,43,-1.984899998,0.48743698,0,0,415.33798,415.7999878,414.25,436.8399963,403.3399963,406.4599915,71.9108963,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,3204,
2012,Bolivia,ARG,Argentina,1,15.58,0,5,1,1,1,68.7,-2.07,0.556,0,1,397.42175,416.272,353.1781,403.0301,407.7037,406.9248,17.7581,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,16.07999992,0,0,0,1,1,45,-0.986699998,0.404639006,0,0,298.966,312.2099915,283.3900146,265.4700012,348.8200073,284.9400024,117.4309998,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,0,15.42,0,4,1,1,1,33.76,-1.06,0.554,1,1,393.83862,378.7272,400.5375,402.8743,395.0849,391.9692,74.4862,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2012,Bolivia,ARG,Argentina,1,15.58,1,2,0,0,1,22.57,-1.38,0.539,0,0,327.00577,311.427,425.9308,277.1538,306.7534,313.7638,21.5315,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.67,1,1,0,0,1,30.34,-2.07,0.46,0,1,315.32169,324.2016,311.7386,359.2538,318.749,262.6655,28.2366,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
